点时间,批号,滤波距离,滤波方位,滤波俯仰,全速度,X向速度,Y向速度,Z向速度,航向,识别结果
16:28:23.178174,277,524.699077,-86.245474,9.117367,6.497536,-6.477124,0.184474,-0.480427,-88.368609,0
16:28:25.241776,277,537.958837,-86.264857,8.904786,6.723962,-6.716922,0.267162,-0.152459,-87.72229,0
16:28:27.305391,277,553.685863,-86.224944,8.743985,7.266492,-7.245205,0.536567,0.144952,-85.764507,1
16:28:29.373601,277,569.287492,-86.221001,8.827047,7.118911,-7.055098,0.36557,0.877976,-87.033794,2
16:28:31.432626,277,584.300843,-86.201343,8.436547,7.355674,-7.323058,0.690769,-0.039976,-84.611356,2
16:28:33.496243,277,599.752514,-86.217439,8.184687,7.49763,-7.480205,0.504209,-0.082209,-86.143768,2
16:28:35.559851,277,614.751047,-86.223275,7.921418,7.479425,-7.460522,0.492966,-0.198472,-86.219582,2
16:28:37.628090,277,629.526798,-86.222729,7.970605,7.042768,-7.014848,0.328981,0.533172,-87.314925,2
16:28:39.691681,277,645.350085,-86.224849,7.949902,7.097912,-7.052207,0.387804,0.704511,-86.852447,2
16:28:41.750697,277,654.374908,-86.486989,7.366546,5.245779,-5.12712,-0.47185,-1.004086,-95.25813,2
16:28:43.721200,277,660.780603,-87.656722,7.652598,6.57534,-3.591357,-5.403625,1.066812,-146.391197,2
16:28:45.784825,277,663.20044,-88.974597,7.83334,7.356653,-2.1681,-6.910296,1.291314,-162.580791,2
16:28:47.848446,277,663.784359,-90.041177,7.346197,6.111453,-1.514837,-5.861669,-0.834241,-165.510018,2
16:28:49.835127,277,667.394686,-91.394982,7.003796,7.446618,-1.664694,-7.172401,-1.112464,-166.933162,2
16:28:51.894145,277,665.543707,-92.39333,6.177287,6.583454,-0.886684,-5.753249,-3.075026,-171.238574,2
