点时间,批号,滤波距离,滤波方位,滤波俯仰,全速度,X向速度,Y向速度,Z向速度,航向,识别结果
16:33:16.103248,290,3349.723684,-87.528076,4.702148,0.0,0.0,0.0,0.0,0.0,0
16:33:18.139435,290,3351.595157,-87.222543,4.524789,7.31086,1.140612,7.016045,-1.709618,9.233904,0
16:33:20.300774,290,3345.774279,-86.678832,4.110924,13.986105,3.636041,11.828842,-6.516813,17.086788,0
16:33:22.364394,290,3327.607524,-86.053962,4.11149,16.510811,6.896368,14.223072,-4.769822,25.867444,3
16:33:24.455424,290,3317.971909,-85.656593,4.391034,13.457903,6.08496,11.993884,-0.484949,26.90044,3
16:33:26.491607,290,3304.60139,-85.412573,4.209449,12.146093,6.694164,9.970002,-1.820663,33.878619,3
16:33:28.555222,290,3289.211969,-85.016013,4.263854,12.54739,7.512818,9.986835,-1.121471,36.953124,3
16:33:30.646267,290,3278.371581,-84.478506,4.487729,13.422405,7.350684,11.22072,0.473131,33.228772,3
16:33:32.682468,290,3260.479655,-84.194275,4.442751,12.786316,8.236958,9.779693,0.001722,40.105798,3
16:33:34.871226,290,3242.284559,-83.724091,4.546734,13.437081,8.688389,10.240355,0.449651,40.31281,3
16:33:36.991666,290,3232.278497,-83.162807,4.694385,13.926362,7.528142,11.664648,1.098457,32.837429,3
16:33:40.093623,290,3213.478313,-82.467352,4.947979,13.883834,7.524702,11.466617,2.15787,33.273962,3
16:33:42.129831,290,3203.585682,-82.149905,4.823073,12.633831,6.909015,10.540534,0.881094,33.243682,3
16:33:44.193435,290,3189.736659,-81.739306,4.765249,12.870431,7.456243,10.489743,0.13313,35.4057,3
16:33:46.257053,290,3179.887337,-81.302174,4.977013,12.665215,7.123694,10.370516,1.453641,34.485872,3
16:33:48.418391,290,3166.303511,-80.54081,4.802357,16.137127,8.182068,13.885047,-0.816138,30.509649,3
16:33:50.509420,290,3151.817285,-79.927764,4.716138,16.851464,8.831659,14.280043,-1.43318,31.735202,3
