点时间,批号,滤波距离,滤波方位,滤波俯仰,全速度,X向速度,Y向速度,Z向速度,航向,识别结果
09:05:20.995368,2872,1140.51155,-92.463844,7.389335,6.002711,2.383335,5.264048,1.625441,24.358981,0
09:05:23.153274,2872,1135.58734,-91.704111,7.55475,6.899594,2.324826,6.364016,1.303412,20.067651,0
09:05:25.216861,2872,1127.742436,-91.093969,7.946827,6.979339,3.03445,5.918623,2.114991,27.144,0
09:05:27.280484,2872,1123.637547,-90.597181,8.143979,6.220205,2.647907,5.263788,1.993008,26.70432,3
09:05:29.367236,2872,1119.476479,-90.074539,8.110173,5.872959,2.495571,5.233458,0.935249,25.494115,3
09:05:31.430864,2872,1112.486418,-89.593026,8.142721,5.761305,3.026482,4.8747,0.519938,31.834283,3
09:05:33.530903,2872,1108.661684,-88.798201,8.124215,6.7977,2.363832,6.373426,-0.021497,20.349249,3
09:05:35.635030,2872,1103.764464,-88.152175,8.23233,6.435759,2.33383,5.988824,0.325914,21.290742,4
09:05:37.698644,2872,1101.53833,-87.693734,8.507379,5.313595,1.9421,4.765043,1.325482,22.174452,4
09:05:39.757657,2872,1096.511251,-87.196729,8.391556,5.289716,2.22578,4.794143,0.207834,24.904061,4
09:05:41.825848,2872,1093.988109,-86.826011,8.804064,4.522771,2.03514,3.648682,1.732279,29.151639,4
09:05:43.884890,2872,1089.241027,-86.22478,8.980352,5.45046,2.438923,4.671432,1.391723,27.568753,4
09:05:45.948475,2872,1086.72598,-85.731053,9.117962,5.172364,2.158193,4.525383,1.271399,25.496863,4
09:05:48.089035,2872,1081.492962,-84.868598,9.090281,6.888324,2.587305,6.380035,0.22363,22.074107,4
09:05:50.152657,2872,1078.832154,-84.251021,9.102138,6.26784,2.274783,5.838003,0.169985,21.288423,4
09:05:52.220848,2872,1077.848848,-83.675344,9.230506,5.641485,1.827811,5.301587,0.615332,19.022488,4
