点时间,批号,距离,方位,俯仰,多普勒速度,和幅度,信噪比,原始点数量
16:33:16.103248,290,3349.723684,-87.528076171875,4.7021484375,-4.15,158825,598610,34
16:33:18.139435,290,3351.926471,-87.308349609375,4.1748046875,-1.56,63820,237717,35
16:33:20.300774,290,3346.278,-86.66015625,3.6859130859375,-5.67,33143,78258,32
16:33:22.364394,290,3319.988462,-85.8856201171875,4.39453125,-5.67,40073,103891,15
16:33:24.455424,290,3319.404054,-85.638427734375,4.844970703125,-5.05,60476,119535,23
16:33:26.491607,290,3303.075,-85.58349609375,3.9935302734375,-6.65,176434,435045,45
16:33:28.555222,290,3286.8,-84.9847412109375,4.405517578125,-6.65,120491,169490,8
16:33:30.646267,290,3281.668421,-84.298095703125,4.8614501953125,-7.4,49492,68773,16
16:33:32.682468,290,3255.466071,-84.3310546875,4.32861328125,-6.26,108802,245469,29
16:33:34.871226,290,3239.451818,-83.64990234375,4.691162109375,-6.5,172371,503580,68
16:33:36.991666,290,3236.418421,-83.0072021484375,4.8944091796875,-6.06,81633,215109,44
16:33:40.093623,290,3212.645122,-82.4139404296875,5.174560546875,-5.05,58456,214011,25
16:33:42.129831,290,3204.936957,-82.320556640625,4.4769287109375,-5.47,200681,392773,44
16:33:44.193435,290,3187.153774,-81.7822265625,4.59228515625,-5.47,63878,264801,16
16:33:46.257053,290,3181.8,-81.243896484375,5.2734375,-5.67,66989,228926,37
16:33:48.418391,290,3165,-80.321044921875,4.5098876953125,-6.26,122715,230881,23
16:33:50.509420,290,3150,-79.8980712890625,4.603271484375,-6.32,15299,46225,3
