点时间,批号,距离,方位,俯仰,多普勒速度,和幅度,信噪比,原始点数量
09:05:20.995368,2872,1140,-92.39501953125,7.3004150390625,-2.34,1587541,140636,44
09:05:23.153274,2872,1135.88,-91.6259765625,7.547607421875,-2.52,4249089,386621,46
09:05:25.216861,2872,1124.697368,-91.07666015625,8.1243896484375,-2.16,17297270,167665,51
09:05:27.280484,2872,1125,-90.6646728515625,8.0694580078125,-2.52,8157302,176811,45
09:05:29.367236,2872,1120.7525,-90.142822265625,7.8662109375,-3.07,5421983,986112,49
09:05:31.430864,2872,1110.973529,-89.6484375,8.0364990234375,-3.07,3150537,767138,39
09:05:33.530903,2872,1110,-88.7091064453125,8.0584716796875,-1.95,1934040,192721,42
09:05:35.635030,2872,1103,-88.165283203125,8.2781982421875,-1.53,593334,412828,18
09:05:37.698644,2872,1103,-87.747802734375,8.646240234375,-1.53,15847302,1098478,40
09:05:39.757657,2872,1095,-87.2589111328125,8.1573486328125,-1.87,784266,369810,14
09:05:41.825848,2872,1095,-86.8414306640625,9.0692138671875,-1.53,1768720,721614,13
09:05:43.884890,2872,1088,-86.1492919921875,8.98681640625,-1.87,1061402,416156,25
09:05:45.948475,2872,1088,-85.7537841796875,9.07470703125,-1.87,4232213,708792,26
09:05:48.089035,2872,1080,-84.7650146484375,8.9813232421875,-1.87,30636074,1020001,27
09:05:50.152657,2872,1080,-84.3035888671875,9.041748046875,-1.87,35702956,933895,19
09:05:52.220848,2872,1080,-83.704833984375,9.2779541015625,-1.53,5419597,541343,17
