点时间,批号,距离,方位,俯仰,多普勒速度,和幅度,信噪比,原始点数量
12:32:56.694670,9,413,7.0147705078125,21.961669921875,13.81,29732894,1205916,75
12:32:59.878293,9,458,8.173828125,19.8687744140625,7.67,3703491,1170139,78
12:33:02.984984,9,465,8.10791015625,19.962158203125,0,14711243,71821,58
12:33:06.091714,9,471.395652,8.3111572265625,19.193115234375,6.14,5755035,1016524,71
12:33:09.137255,9,495,8.5638427734375,17.9351806640625,11.26,31396794,1156466,137
12:33:12.243951,9,533,9.0142822265625,16.7266845703125,13.14,43238376,1147533,94
12:33:15.427575,9,578,9.7064208984375,15.0347900390625,15.02,5179583,1006377,75
12:33:18.534280,9,622.683333,10.0030517578125,14.2547607421875,15.02,7115478,1113125,63
12:33:21.645649,9,671.271622,10.8544921875,14.249267578125,13.81,5807631,1048101,55
12:33:24.747652,9,705,10.7061767578125,13.084716796875,7.51,9535573,893414,56
12:33:27.854364,9,720,10.5413818359375,13.1341552734375,0,2102823,77188,24
12:33:30.961042,9,720,10.7171630859375,13.02978515625,5.63,4478720,748368,43
12:33:34.072413,9,747.102632,11.085205078125,12.8594970703125,12.28,1031008,751055,75
12:33:37.225306,9,795,11.1456298828125,12.0574951171875,13.81,1242040,1033116,91
12:33:40.327395,9,840,11.063232421875,10.96435546875,15.02,2335825,952605,48
12:33:43.438707,9,888.409459,11.239013671875,10.7666015625,13.81,1376161,1024357,77
12:33:46.545395,9,927.826744,11.3818359375,10.78857421875,15.35,3024474,924636,60
