点时间,批号,距离,方位,俯仰,多普勒速度,和幅度,信噪比,原始点数量
12:31:43.671149,3221,1515,-110.484008789062,3.504638671875,-5.47,47432,139516,11
12:31:47.798368,3221,1493,-111.121215820312,3.5980224609375,-4.3,40838,88194,16
12:31:51.925592,3221,1485,-111.2255859375,4.7406005859375,-2.73,33894,69612,10
12:32:00.103126,3221,1470,-111.450805664062,4.8284912109375,-1.56,34978,68062,6
12:32:04.230354,3221,1464.122,-111.956176757812,4.5208740234375,-1.95,35453,85561,6
12:32:06.311320,3221,1455,-112.027587890625,4.9163818359375,-3.25,38615,122555,6
12:32:10.438552,3221,1441.594898,-112.098999023438,5.25146484375,-2.16,61868,165616,6
12:32:12.502159,3221,1438.206522,-112.181396484375,4.5318603515625,-0.72,71686,64951,5
12:32:14.565762,3221,1433,-112.203369140625,4.833984375,-1.8,96587,142207,12
12:32:16.629391,3221,1433,-112.626342773438,4.94384765625,-2.89,105708,292323,7
12:32:18.675645,3221,1425,-112.648315429688,4.8944091796875,-3.52,65555,174870,15
12:32:20.756601,3221,1418,-112.725219726562,5.0042724609375,-2.16,81198,233522,8
12:32:24.883832,3221,1411.62551,-112.846069335938,5.306396484375,-3.61,68732,185464,14
12:32:29.011053,3221,1395,-113.565673828125,5.2130126953125,-2.89,42546,129174,8
12:32:33.138299,3221,1388,-113.472290039062,5.25146484375,-2.89,48804,49487,16
12:32:35.114262,3221,1381.619388,-113.79638671875,5.306396484375,-2.7,36843,79110,16
