点时间,批号,距离,方位,俯仰,多普勒速度,和幅度,信噪比,原始点数量
12:03:57.300907,3171,1735.97,-117.92724609375,6.1248779296875,4.87,60537,228676,35
12:03:59.337098,3171,1794.8,-117.515258789062,6.0919189453125,3.52,121016,105350,13
12:04:01.400696,3171,1781.0375,-118.064575195312,5.9930419921875,3.32,41189,67873,12
12:04:03.491748,3171,1782.362195,-118.14697265625,6.0260009765625,2.7,40284,111383,9
12:04:07.591549,3171,1828.59375,-118.482055664062,5.767822265625,3.32,50353,310071,10
12:04:11.746207,3171,1795.09,-118.0810546875,6.3336181640625,6.14,18430,84835,6
12:04:13.782380,3171,1801.484694,-119.00390625,5.6634521484375,6.65,40863,111892,10
12:04:15.846009,3171,1820.97,-117.61962890625,5.29541015625,8.8,38347,100355,9
12:04:17.937039,3171,1834.934615,-117.70751953125,5.80078125,3.79,38825,122233,18
12:04:19.973236,3171,1838,-118.355712890625,5.833740234375,5.47,46794,209185,15
12:04:22.064281,3171,1838,-118.32275390625,5.9710693359375,-0.36,238951,27048,17
12:04:24.100464,3171,1841.314865,-118.773193359375,6.13037109375,1.56,26176,84290,13
12:04:28.227685,3171,1857.332927,-118.19091796875,5.8612060546875,4.3,35926,80522,12
12:04:30.318728,3171,1868.197368,-118.328247070312,5.9820556640625,1.26,111956,81708,8
12:04:34.445949,3171,1865.77,-118.383178710938,5.9161376953125,3.43,42272,194774,14
